Date,m_t,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE
2009-06-12,-1084.6447,-0.70224607,-0.4100597,-0.9600191,1.135498,-0.22874142,-0.11980713,-0.14904276,-0.06363394,0.25157928,-0.3498722
2009-06-15,-964.3792,-0.37956187,-1.2689003,-0.36600953,0.20436022,-1.4201562,-0.84483266,0.69509757,-1.7179902,-0.47369966,-2.043249
2009-06-16,-1003.15546,-0.21374403,-0.6507243,-0.016956702,0.0627432,-1.2355105,-0.32558453,-0.9017768,-0.9337347,-0.72207856,-1.0159289
2009-06-17,-960.123,-0.22683461,0.2865428,-0.3337113,0.53135335,0.542143,0.673465,1.4235941,1.3985323,0.11576869,0.8455349
2009-06-18,-1027.0566,-0.42577398,-0.48588732,-0.0051952642,-0.41662526,0.6698182,-0.69331867,-0.20908883,0.044617776,-0.37524274,0.08525219
2009-06-19,-954.77106,-0.29855216,-0.16650625,1.0039088,1.3195732,0.87878,0.32462078,0.656846,0.52112573,0.46918264,0.987358
2009-06-22,-799.898,-0.8634084,-1.3058091,-0.7874973,-1.988413,-1.5780121,-0.88845015,-1.5432419,-1.6194123,-1.7893704,-3.3189514
2009-06-23,-559.05475,-0.08572277,0.42297304,-1.3348149,0.13624355,-0.2597527,0.31219655,-0.8696084,-0.04820667,0.3908188,0.7217583
2009-06-24,-665.9928,-0.2171176,0.08736707,0.68604666,0.32303992,3.118162,0.7266818,0.80905515,0.6066196,0.68082005,0.07958879
2009-06-25,-579.84784,1.1431495,1.12426,1.2055228,0.8401749,0.7902075,0.51121294,0.80519325,0.874148,0.60293096,1.3488488
2009-06-26,-718.4064,-0.26864988,-0.32462364,0.7593829,-1.1602763,-0.86446166,-0.08544488,0.18345635,-0.27236176,-0.2520446,-0.8422709
2009-06-29,-682.9577,0.052147806,0.19007711,-0.2582314,1.3157753,0.53931457,0.19524689,-0.36880726,-0.22761793,0.47811127,1.0657717
2009-06-30,-815.39374,-0.8865456,-0.86152935,0.047037378,-0.23663242,-0.19696115,0.39199162,-0.037905,-0.9502006,-0.17229904,-0.5003895
